situation,event,sentence_type,subject_01,verb_01,noun_01,preposition_02,clause_01,full_sentence,traditional_chinese
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,am,Sum Wan,from,Hong Kong,I am Sum Wan from Hong Kong,我是來自香港的Sum Wan。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,You,can,call,me,Timothy,You can call me Timothy,你可以叫我Timothy。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have,been,living in,Hong Kong since I was born,I have been living in Hong Kong since I was born,我從出生以來一直住在香港。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,had,working experience,before,I started studying,I had working experience before I started studying,在我開始學習之前，我有工作經驗。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,am,skilled,in,"project management, coding, and project design architecture","I am skilled in project management, coding, and project design architecture",我擅長專案管理、編碼和專案設計架構。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,like,to bring,enthusiasm and adaptability,to my work,I like to bring enthusiasm and adaptability to my work,我喜歡將熱情和適應能力帶到我的工作中。
IT INTERVIEW,MY WORK EXPERIENCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have,the confidence,to contain,creativity and initiative,I have the confidence to contain creativity and initiative,我有自信能夠包容創造力和主動性。
IT INTERVIEW,INTERNSHIP GOALS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,There,are,many things,to gain,from an internship,There are many things to gain from an internship,從實習中可以獲得許多收穫。
IT INTERVIEW,INTERNSHIP GOALS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,want,to learn,a variety of areas,in the field of AI,I want to learn a variety of areas in the field of AI,我想要在人工智慧領域學習各種不同的領域。
IT INTERVIEW,INTERNSHIP GOALS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,hope,to become,an IT expert,in a specific field of AI,I hope to become an IT expert in a specific field of AI,我希望成為人工智慧特定領域的資訊科技專家。
IT INTERVIEW,SKILLS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have,gained,great programming skill,from college education,I have gained great programming skill from college education,我從大學教育中獲得了很棒的程式設計技能。
IT INTERVIEW,SKILLS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,When,I was studying,I gained experience,in,"using Asp.net, C#, C++, Python, SQL, and Javascript","When I was studying I gained experience in using Asp.net, C#, C++, Python, SQL, and Javascript",當我在學習時，我獲得了使用Asp.net、C#、C++、Python、SQL和Javascript的經驗。
IT INTERVIEW,CHALLENGES,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,set,a high standard,for,myself,I set a high standard for myself,我對自己設立了很高的標準。
IT INTERVIEW,CHALLENGES,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,One day a customer,reported,a performance issue,in,our web application,One day a customer reported a performance issue in our web application,有一天，一位顧客向我們報告了我們的網絡應用程式的性能問題。
IT INTERVIEW,CHALLENGES,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,My boss,adjusted,my schedule,to help,the company,My boss adjusted my schedule to help the company,我的老闆調整了我的工作時間表，以幫助公司。
IT INTERVIEW,CHALLENGES,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,worked,on,a dispensing system and big data,,I worked on a dispensing system and big data,我曾經參與一個分配系統和大數據的工作。
IT INTERVIEW,TIME MANAGEMENT,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,had to master,the art of prioritizing,to,prioritizing,I had to master the art of prioritizing to prioritizing,我必須掌握優先排序的藝術，以便進行優先排序。
IT INTERVIEW,TIME MANAGEMENT,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,created,some web service,to reduce that workload,API,I created some web service to reduce that workload API,我創建了一些網路服務來減輕那個工作負擔的API。
IT INTERVIEW,DECISION MAKING,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,My SA,suggested,I,use,XML format,My SA suggested I use XML format,我的SA建議我使用XML格式。
IT INTERVIEW,DECISION MAKING,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,preferred,to use,JSON format,rather than XML,I preferred to use JSON format rather than XML,我更喜歡使用JSON格式而不是XML。
IT INTERVIEW,PERFORMANCE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,feel,pressure,like,I work well,I feel pressure like I work well,我感到壓力，就像我工作得很好一樣。
IT INTERVIEW,DEDICATION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,For me,drives,me,to,work harder,For me drives me to work harder,對我來說，這驅使我更努力工作。
IT INTERVIEW,PROJECT,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,researched,the use of,artificial intelligence,during COVID-19,I researched the use of artificial intelligence during COVID-19,我研究了在COVID-19期間使用人工智慧的情況。
IT INTERVIEW,PROJECT GOAL,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,My,goal,was,to get,a score of 80 or more,My goal was to get a score of 80 or more,我的目標是獲得80分或以上。
IT INTERVIEW,TIME MANAGEMENT,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,Time management,is,important,for,IT project today,Time management is important for IT project today,今天對於IT專案來說，時間管理非常重要。
IT INTERVIEW,RESEARCH,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,analyzed,the stock market,during,COVID-19,I analyzed the stock market during COVID-19,我在COVID-19期間分析了股市。
IT INTERVIEW,STRATEGY,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,used,regression,on,historical data,I used regression on historical data,我在歷史數據上使用了回歸分析。
IT INTERVIEW,DATA ANALYSIS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,The project,aims to predict,future stock prices,with,regression and LSTM,The project aims to predict future stock prices with regression and LSTM,這個專案旨在使用回歸和LSTM來預測未來的股票價格。
IT INTERVIEW,DATA HANDLING,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,There,is,no feature,representing,the target variable,There is no feature representing the target variable,目標變數沒有任何特徵。
IT INTERVIEW,MODEL STRATEGY,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,the perception model,is mixed together,the predictions,of,Ridge and LSTM,the perception model is mixed together the predictions of Ridge and LSTM,這個知覺模型將Ridge和LSTM的預測混合在一起。
IT INTERVIEW,EVALUATION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,finished,calculating,the,historical stock price daily return,I finished calculating the historical stock price daily return,我已經完成計算歷史股價的每日回報。
IT INTERVIEW,OUTCOME,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,Finally,I got,a mark,of,92,Finally I got a mark of 92,最後我得到了92分。
IT INTERVIEW,DATA CHALLENGE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,It,is,a bit hard,to deal with,these raw data,It is a bit hard to deal with these raw data,處理這些原始數據有點困難。
IT INTERVIEW,APPROACH,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,analyzed,a new approach,to achieve,effective averaging for improving the accuracy,I analyzed a new approach to achieve effective averaging for improving the accuracy,我分析了一種新方法，以實現有效的平均化，以提高準確性。
IT INTERVIEW,WORK ENVIRONMENT,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,For me,pressure drives,me,to be,more focused,For me pressure drives me to be more focused,對我來說，壓力驅使我更加專注。
IT INTERVIEW,WORK ETHICS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,have never been,one,to leave things,until the last minute,I have never been one to leave things until the last minute,我從來不會把事情拖到最後一刻。
IT INTERVIEW,METHODS,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,utilized,LSTM model,to predict,stock prices,I utilized LSTM model to predict stock prices,我使用LSTM模型來預測股票價格。
IT INTERVIEW,DATA CHALLENGE,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,There,was,no feature,representing,the target variable,There was no feature representing the target variable,沒有任何特徵代表目標變數。
IT INTERVIEW,PROBLEM SOLVING,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,After building the perception model,mixed,Ridge and LSTM predictions,After,building the perception model,After building the perception model mixed Ridge and LSTM predictions After building the perception model,在建立感知模型之後，混合了Ridge和LSTM的預測。在建立感知模型之後。
IT INTERVIEW,RESULT,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,achieved,a score,of,92,I achieved a score of 92,我得到了92分的成績。
IT INTERVIEW,PRACTICAL SOLUTION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,created,web service API,to access,functions of the existing site,I created web service API to access functions of the existing site,我創建了網絡服務API，以訪問現有網站的功能。
IT INTERVIEW,DEDICATION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,If,it meant,extra hours,I,put them in,If it meant extra hours I put them in,如果這意味著需要加班，我會願意加入。
IT INTERVIEW,TIME MANAGEMENT,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,never,leave things,to,the last minute,I never leave things to the last minute,我從不把事情拖到最後一刻。
IT INTERVIEW,RESPONSIBILITY,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,stepped up,when,others couldn't attend,,I stepped up when others couldn't attend,當其他人無法參加時，我挺身而出。
IT INTERVIEW,ADAPTABILITY,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,prefer,JSON format,but,I considered XML,I prefer JSON format but I considered XML,我更喜歡JSON格式，但我也考慮過XML。
IT INTERVIEW,INNOVATION,article_01+subject_01+verb_01+noun_01+preposition_02+clause_01,I,introduced,a new approach,To,improve accuracy,I introduced a new approach To improve accuracy,我引入了一種新的方法來提高準確性。
